Date,Time,Location,,Speed (mph),Speed Limit,Over Limit?,Saturday/Sunday,Bad weather
18-Jun,5:41 AM,Chestnut Hill Road,,42,30,Y,,
18-Jun,5:42 AM,Chestnut Hill Road,,49,30,Y,,
18-Jun,5:44 AM,Chestnut Hill Road,,46,30,Y,,
18-Jun,5:46 AM,Chestnut Hill Road,,39,30,Y,,
18-Jun,5:47 AM,Chestnut Hill Road,,44,30,Y,,
18-Jun,5:49 AM,Norwich Avenue,,39,35,Y,,
18-Jun,5:50 AM,Norwich Avenue,,41,35,Y,,
18-Jun,5:50 AM,Norwich Avenue,,39,35,Y,,
18-Jun,4:21 PM,Chestnut Hill Road,,42,30,Y,,
18-Jun,4:22 PM,Chestnut Hill Road,,36,30,Y,,
18-Jun,4:22 PM,Chestnut Hill Road,,35,30,Y,,
18-Jun,4:23 PM,Chestnut Hill Road,,35,30,Y,,
18-Jun,4:24 PM,Chestnut Hill Road,,43,30,Y,,
18-Jun,4:24 PM,Chestnut Hill Road,,38,30,Y,,
18-Jun,4:24 PM,Chestnut Hill Road,,41,30,Y,,
18-Jun,4:25 PM,Chestnut Hill Road,,41,30,Y,,
18-Jun,4:25 PM,Chestnut Hill Road,,39,30,Y,,
18-Jun,4:25 PM,Chestnut Hill Road,,38,30,Y,,
18-Jun,4:26 PM,Chestnut Hill Road,,38,30,Y,,
18-Jun,4:27 PM,Chestnut Hill Road,,43,30,Y,,
18-Jun,4:27 PM,Chestnut Hill Road,,35,30,Y,,
18-Jun,4:27 PM,Chestnut Hill Road,,39,30,Y,,
19-Jun,5:42 AM,Chestnut Hill Road,,33,30,Y,,
19-Jun,5:42 AM,Chestnut Hill Road,,32,30,Y,,
19-Jun,5:42 AM,Chestnut Hill Road,,35,30,Y,,
19-Jun,5:47 AM,Chestnut Hill Road,,38,30,Y,,
19-Jun,10:21 AM,Chestnut Hill Road,,35,30,Y,,
20-Jun,5:37 AM,Chestnut Hill Road,,32,30,Y,,
20-Jun,5:38 AM,Chestnut Hill Road,,36,30,Y,,
20-Jun,5:45 AM,Chestnut Hill Road,,39,30,Y,,
20-Jun,5:46 AM,Chestnut Hill Road,,37,30,Y,,
20-Jun,5:51 AM,Mill Street,,33,25,Y,,
20-Jun,10:18 AM,Chestnut Hill Road,,37,30,Y,,
20-Jun,10:20 AM,Chestnut Hill Road,,46,30,Y,,
20-Jun,10:20 AM,Chestnut Hill Road,,37,30,Y,,
20-Jun,10:27 AM,Chestnut Hill Road,,37,30,Y,,
20-Jun,5:43 PM,Chestnut Hill Road,,33,30,Y,,
20-Jun,5:43 PM,Chestnut Hill Road,,43,30,Y,,
20-Jun,5:44 PM,Chestnut Hill Road,,44,30,Y,,
20-Jun,5:45 PM,Chestnut Hill Road,,38,30,Y,,
20-Jun,5:45 PM,Chestnut Hill Road,,41,30,Y,,
20-Jun,5:46 PM,Chestnut Hill Road,,37,30,Y,,
20-Jun,5:47 PM,Chestnut Hill Road,,38,30,Y,,
21-Jun,12:09 PM,Chestnut Hill Road,,45,30,Y,Saturday,
21-Jun,12:11 PM,Chestnut Hill Road,,46,30,Y,Saturday,
21-Jun,12:11 PM,Chestnut Hill Road,,45,30,Y,Saturday,
21-Jun,12:12 PM,Chestnut Hill Road,,36,30,Y,Saturday,
22-Jun,8:25 AM,Chestnut Hill Road,,37,30,Y,Sunday,
23-Jun,5:44 AM,Chestnut Hill Road,,44,30,Y,,
23-Jun,5:48 AM,Chestnut Hill Road,,37,30,Y,,
23-Jun,5:49 AM,Chestnut Hill Road,,44,30,Y,,
23-Jun,5:49 AM,Chestnut Hill Road,,32,30,Y,,
23-Jun,12:07 PM,Norwich Avenue,,42,35,Y,,
23-Jun,12:07 PM,Norwich Avenue,,45,40,Y,,
23-Jun,12:07 PM,Norwich Avenue,,39,40,Y,,
23-Jun,12:08 PM,Norwich Avenue,,48,35,Y,,
24-Jun,2:46 PM,Chestnut Hill Road,,42,30,Y,,
24-Jun,2:49 PM,Chestnut Hill Road,,32,30,Y,,
24-Jun,2:49 PM,Chestnut Hill Road,,33,30,Y,,
24-Jun,2:50 PM,Chestnut Hill Road,,35,30,Y,,
24-Jun,2:51 PM,Chestnut Hill Road,,33,30,Y,,
24-Jun,2:52 PM,Chestnut Hill Road,,35,30,Y,,
24-Jun,2:52 PM,Chestnut Hill Road,,42,30,Y,,
24-Jun,2:53 PM,Chestnut Hill Road,,42,30,Y,,
24-Jun,2:53 PM,Chestnut Hill Road,,41,30,Y,,
24-Jun,2:54 PM,Chestnut Hill Road,,40,30,Y,,
24-Jun,2:55 PM,Chestnut Hill Road,,36,30,Y,,
25-Jun,9:07 AM,Chestnut Hill Road,,34,30,Y,,
25-Jun,9:07 AM,Chestnut Hill Road,,38,30,Y,,
25-Jun,9:09 AM,Chestnut Hill Road,,42,30,Y,,
25-Jun,9:10 AM,Chestnut Hill Road,,37,30,Y,,
25-Jun,9:12 AM,Chestnut Hill Road,,34,30,Y,,
25-Jun,9:13 AM,Chestnut Hill Road,,38,30,Y,,
25-Jun,9:13 AM,Chestnut Hill Road,,35,30,Y,,
26-Jun,10:05 AM,Chestnut Hill Road,,42,30,Y,,
27-Jun,5:46 AM,Chestnut Hill Road,,42,30,Y,,
27-Jun,5:47 AM,Chestnut Hill Road,,41,30,Y,,
27-Jun,5:48 AM,Chestnut Hill Road,,39,30,Y,,
27-Jun,10:23 AM,Norwich Avenue,,43,35,Y,,
27-Jun,10:25 AM,Chestnut Hill Road,,35,30,Y,,
28-Jun,12:01 PM,Chestnut Hill Road,,37,30,Y,Saturday,Light Rain
28-Jun,12:02 PM,Chestnut Hill Road,,38,30,Y,Saturday,Light Rain
29-Jun,8:18 AM,Chestnut Hill Road,,38,30,Y,Sunday,
29-Jun,8:18 AM,Chestnut Hill Road,,37,30,Y,Sunday,
29-Jun,8:19 AM,Chestnut Hill Road,,35,30,Y,Sunday,
29-Jun,11:05 AM,Chestnut Hill Road,,37,30,Y,Sunday,
29-Jun,11:06 AM,Chestnut Hill Road,,42,30,Y,Sunday,
30-Jun,5:42 AM,Chestnut Hill Road,,45,30,Y,,
30-Jun,12:32 PM,Chestnut Hill Road,,38,30,Y,,
1-Jul,5:42 AM,Chestnut Hill Road,,36,30,Y,,
1-Jul,5:44 AM,Chestnut Hill Road,,47,30,Y,,
1-Jul,5:45 AM,Chestnut Hill Road,,54,30,Y,,
1-Jul,5:47 AM,Chestnut Hill Road,,35,30,Y,,
1-Jul,5:49 AM,Norwich Avenue,,36,35,Y,,
